"","接种时间1","events","cumnum","group","N","rate"
"1",2020-09-28,1,1,"1st dose of vaccine",274363,0.000364480633321548
"2",2020-09-29,0,1,"1st dose of vaccine",274363,0.000364480633321548
"3",2020-09-30,0,1,"1st dose of vaccine",274363,0.000364480633321548
"4",2020-10-01,0,1,"1st dose of vaccine",274363,0.000364480633321548
"5",2020-10-02,0,1,"1st dose of vaccine",274363,0.000364480633321548
"6",2020-10-03,0,1,"1st dose of vaccine",274363,0.000364480633321548
"7",2020-10-04,1,2,"1st dose of vaccine",274363,0.000728961266643097
"8",2020-10-05,0,2,"1st dose of vaccine",274363,0.000728961266643097
"9",2020-10-06,0,2,"1st dose of vaccine",274363,0.000728961266643097
"10",2020-10-07,0,2,"1st dose of vaccine",274363,0.000728961266643097
"11",2020-10-08,0,2,"1st dose of vaccine",274363,0.000728961266643097
"12",2020-10-09,0,2,"1st dose of vaccine",274363,0.000728961266643097
"13",2020-10-10,0,2,"1st dose of vaccine",274363,0.000728961266643097
"14",2020-10-11,0,2,"1st dose of vaccine",274363,0.000728961266643097
"15",2020-10-12,0,2,"1st dose of vaccine",274363,0.000728961266643097
"16",2020-10-13,0,2,"1st dose of vaccine",274363,0.000728961266643097
"17",2020-10-14,0,2,"1st dose of vaccine",274363,0.000728961266643097
"18",2020-10-15,0,2,"1st dose of vaccine",274363,0.000728961266643097
"19",2020-10-16,2,4,"1st dose of vaccine",274363,0.00145792253328619
"20",2020-10-17,0,4,"1st dose of vaccine",274363,0.00145792253328619
"21",2020-10-18,5,9,"1st dose of vaccine",274363,0.00328032569989394
"22",2020-10-19,0,9,"1st dose of vaccine",274363,0.00328032569989394
"23",2020-10-20,0,9,"1st dose of vaccine",274363,0.00328032569989394
"24",2020-10-21,0,9,"1st dose of vaccine",274363,0.00328032569989394
"25",2020-10-22,0,9,"1st dose of vaccine",274363,0.00328032569989394
"26",2020-10-23,0,9,"1st dose of vaccine",274363,0.00328032569989394
"27",2020-10-24,0,9,"1st dose of vaccine",274363,0.00328032569989394
"28",2020-10-25,0,9,"1st dose of vaccine",274363,0.00328032569989394
"29",2020-10-26,0,9,"1st dose of vaccine",274363,0.00328032569989394
"30",2020-10-27,0,9,"1st dose of vaccine",274363,0.00328032569989394
"31",2020-10-28,0,9,"1st dose of vaccine",274363,0.00328032569989394
"32",2020-10-29,0,9,"1st dose of vaccine",274363,0.00328032569989394
"33",2020-10-30,0,9,"1st dose of vaccine",274363,0.00328032569989394
"34",2020-10-31,0,9,"1st dose of vaccine",274363,0.00328032569989394
"35",2020-11-01,0,9,"1st dose of vaccine",274363,0.00328032569989394
"36",2020-11-02,0,9,"1st dose of vaccine",274363,0.00328032569989394
"37",2020-11-03,0,9,"1st dose of vaccine",274363,0.00328032569989394
"38",2020-11-04,0,9,"1st dose of vaccine",274363,0.00328032569989394
"39",2020-11-05,0,9,"1st dose of vaccine",274363,0.00328032569989394
"40",2020-11-06,0,9,"1st dose of vaccine",274363,0.00328032569989394
"41",2020-11-07,0,9,"1st dose of vaccine",274363,0.00328032569989394
"42",2020-11-08,0,9,"1st dose of vaccine",274363,0.00328032569989394
"43",2020-11-09,0,9,"1st dose of vaccine",274363,0.00328032569989394
"44",2020-11-10,0,9,"1st dose of vaccine",274363,0.00328032569989394
"45",2020-11-11,0,9,"1st dose of vaccine",274363,0.00328032569989394
"46",2020-11-12,0,9,"1st dose of vaccine",274363,0.00328032569989394
"47",2020-11-13,1,10,"1st dose of vaccine",274363,0.00364480633321548
"48",2020-11-14,0,10,"1st dose of vaccine",274363,0.00364480633321548
"49",2020-11-15,1,11,"1st dose of vaccine",274363,0.00400928696653703
"50",2020-11-16,0,11,"1st dose of vaccine",274363,0.00400928696653703
"51",2020-11-17,0,11,"1st dose of vaccine",274363,0.00400928696653703
"52",2020-11-18,0,11,"1st dose of vaccine",274363,0.00400928696653703
"53",2020-11-19,0,11,"1st dose of vaccine",274363,0.00400928696653703
"54",2020-11-20,0,11,"1st dose of vaccine",274363,0.00400928696653703
"55",2020-11-21,0,11,"1st dose of vaccine",274363,0.00400928696653703
"56",2020-11-22,0,11,"1st dose of vaccine",274363,0.00400928696653703
"57",2020-11-23,0,11,"1st dose of vaccine",274363,0.00400928696653703
"58",2020-11-24,0,11,"1st dose of vaccine",274363,0.00400928696653703
"59",2020-11-25,0,11,"1st dose of vaccine",274363,0.00400928696653703
"60",2020-11-26,0,11,"1st dose of vaccine",274363,0.00400928696653703
"61",2020-11-27,0,11,"1st dose of vaccine",274363,0.00400928696653703
"62",2020-11-28,0,11,"1st dose of vaccine",274363,0.00400928696653703
"63",2020-11-29,2,13,"1st dose of vaccine",274363,0.00473824823318013
"64",2020-11-30,0,13,"1st dose of vaccine",274363,0.00473824823318013
"65",2020-12-01,0,13,"1st dose of vaccine",274363,0.00473824823318013
"66",2020-12-02,0,13,"1st dose of vaccine",274363,0.00473824823318013
"67",2020-12-03,1,14,"1st dose of vaccine",274363,0.00510272886650168
"68",2020-12-04,9,23,"1st dose of vaccine",274363,0.00838305456639562
"69",2020-12-05,13,36,"1st dose of vaccine",274363,0.0131213027995757
"70",2020-12-06,14,50,"1st dose of vaccine",274363,0.0182240316660774
"71",2020-12-07,13,63,"1st dose of vaccine",274363,0.0229622798992576
"72",2020-12-08,9,72,"1st dose of vaccine",274363,0.0262426055991515
"73",2020-12-09,0,72,"1st dose of vaccine",274363,0.0262426055991515
"74",2020-12-10,0,72,"1st dose of vaccine",274363,0.0262426055991515
"75",2020-12-11,4,76,"1st dose of vaccine",274363,0.0277005281324377
"76",2020-12-12,47,123,"1st dose of vaccine",274363,0.0448311178985505
"77",2020-12-13,28,151,"1st dose of vaccine",274363,0.0550365756315538
